id,labelSpanish,labelEnglish,color,size,fullName,male
1,UPCT,UPCT,#009933,6691,Universidad Politécnica de Cartagena,5000
2,ETSII,ETSII,#009933,2341,Escuela Técnica Superior de Ingeniería Industrial,1800
3,ETSIA,ETSIA,#009933,718,Escuela Técnica Superior de Ingeniería Agronómica,600
4,ETSIT,ETSIT,#009933,658,Escuela Técnica Superior de Ingeniería de Telecomunicación,550
5,FCE,FCE,#009933,786,Facultad de Ciencias de la Empresa,650
6,ETSINO,ETSINO,#009933,345,Escuela Técnica Superior de Ingeniería Naval y Oceánica,300
7,ARQ & EDI,ARQ & EDI,#009933,865,Escuela de Arquitectura e Ingeniería de Edificación,733
8,EICM,EICM,#009933,635,Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos y de Ingeniería de Minas,300
9,CUD,CUD,#009933,258,Centro Universitario de la Defensa,211
10,EUT,EUT,#009933,85,Escuela de Turismo,40
